cell_type	putative_driver_count	mean_abs_cnv_score
Neutrophils	1	0.0710292299814307
Pancreatic cells	0	0.050353662069939464
Liver cells	3	0.06529706718567112
Liver cells	0	0.06018667518914392
Pancreatic cells	2	0.04025507537324955
Neutrophils	0	0.06490856313969923
Pancreatic cells	0	0.041818096229470386
Pancreatic cells	0	0.049149246454471114
Liver cells	0	0.06118813671031236
Liver cells	2	0.0789094282898911
Pancreatic cells	0	0.06966712965789054
Neutrophils	0	0.048350703028277806
Pancreatic cells	1	0.09218108663362189
Pancreatic cells	0	0.049830732710575434
Fibroblasts	3	0.05727032167379525
Pancreatic cells	2	0.06367382348577288
Fibroblasts	1	0.053283172050662936
Pancreatic cells	3	0.05241216225533214
Liver cells	0	0.05634497547319714
Pancreatic cells	4	0.05721402286277085
Liver cells	1	0.0663647680334206
Neutrophils	0	0.04758686130453508
Pancreatic cells	1	0.08201563373019415
Pancreatic cells	0	0.08141457914398778
Fibroblasts	0	0.08446719437087957
Liver cells	1	0.07785800593966832
Pancreatic cells	2	0.07612216521263145
Pancreatic cells	1	0.061668607989865745
Pancreatic cells	1	0.07113870969136847
Fibroblasts	2	0.05838854941751014
Liver cells	0	0.044258820013988
Pancreatic cells	0	0.0414418711893838
Pancreatic cells	3	0.058411746014961345
Pancreatic cells	5	0.04587973938963452
Pancreatic cells	2	0.07195188965370893
Neutrophils	0	0.05904241897195561
Neutrophils	1	0.056782985612849175
Liver cells	0	0.05779884872917621
Liver cells	0	0.06226680215891496
Liver cells	2	0.07406560055532312
Pancreatic cells	1	0.06989910571681539
Liver cells	0	0.0678181016053227
Neutrophils	1	0.05661005288847953
Liver cells	1	0.058637134029864604
Neutrophils	0	0.05869006576910839
Liver cells	3	0.0721059658951918
Liver cells	3	0.05171127466050261
Liver cells	1	0.05293052758328046
Pancreatic cells	0	0.06224754624722918
Pancreatic cells	2	0.06606684951869243
Pancreatic cells	2	0.0661502699610219
Liver cells	4	0.06495413643821601
Pancreatic cells	0	0.050625163218176485
Neutrophils	0	0.06025979333419286
Neutrophils	0	0.055889348701646684
Pancreatic cells	2	0.05688037356610381
Pancreatic cells	2	0.06251561821227532
Liver cells	0	0.05645714046653895
Pancreatic cells	3	0.06305129843888331
Pancreatic cells	1	0.05653236422849862
Liver cells	5	0.06549699902095293
Liver cells	0	0.04679185586989482
Pancreatic cells	2	0.05904442057365352
Liver cells	0	0.05530117558729035
Liver cells	1	0.06676149875560494
Neutrophils	1	0.052251355358646674
Liver cells	0	0.0442878791125719
Neutrophils	0	0.06302491733226614
Neutrophils	0	0.058592611336243876
Neutrophils	0	0.04755223736008997
Pancreatic cells	0	0.06992940100144457
Pancreatic cells	0	0.05212634420503669
Liver cells	0	0.0786561986161197
Pancreatic cells	1	0.0632458815650068
Liver cells	1	0.0717776833492945
Liver cells	0	0.057656957250353386
Liver cells	0	0.06706321625141111
Pancreatic cells	0	0.0476112063900657
Pancreatic cells	1	0.04561075802312372
Pancreatic cells	1	0.05163928526704994
Liver cells	2	0.06256496952965972
Neutrophils	0	0.054428370216105554
Pancreatic cells	0	0.0573773155657326
Pancreatic cells	1	0.05636711801298581
Pancreatic cells	3	0.05543831557545181
Pancreatic cells	2	0.06220495096089085
Liver cells	2	0.07812489293685995
Pancreatic cells	0	0.07707052708139388
Pancreatic cells	4	0.05981998570729281
Pancreatic cells	3	0.04108652639986914
Pancreatic cells	0	0.04438420556199079
Liver cells	1	0.07321233016681386
Neutrophils	0	0.05203532230810431
Liver cells	4	0.06802919045226807
Pancreatic cells	2	0.054132321684368934
Pancreatic cells	0	0.07089502861430633
Liver cells	2	0.07198076549825913
Pancreatic cells	4	0.06136148171718026
Neutrophils	0	0.06345892582402969
Pancreatic cells	6	0.04695427398903304
Liver cells	1	0.06763554943979035
Neutrophils	0	0.060112443063939563
Pancreatic cells	2	0.05084762225216597
Pancreatic cells	1	0.04906182570232473
Pancreatic cells	5	0.0602411530880874
Liver cells	0	0.07177220975741157
Pancreatic cells	0	0.05045663606016102
Pancreatic cells	4	0.0409267035776776
Neutrophils	0	0.06080136208841158
Pancreatic cells	2	0.06413110573788612
Pancreatic cells	0	0.04368288310267925
Fibroblasts	2	0.05779319366947256
Pancreatic cells	1	0.06792625296052568
Liver cells	0	0.07821833483530369
Pancreatic cells	1	0.06436872908136516
Liver cells	0	0.048605926728561163
Neutrophils	0	0.059495353638891794
Neutrophils	0	0.05567301267646876
Fibroblasts	1	0.05977664379436164
Neutrophils	1	0.056160807637062125
Liver cells	1	0.061392391718998365
Pancreatic cells	4	0.05584828724152723
Liver cells	3	0.0662626015338517
Neutrophils	2	0.052655088038260446
Pancreatic cells	1	0.07234133228857766
Fibroblasts	2	0.055059639656265265
Pancreatic cells	0	0.08453405203757279
Pancreatic cells	0	0.1005084433094777
Pancreatic cells	1	0.06645545136785973
Neutrophils	0	0.057747337817864224
Liver cells	0	0.08258914161145677
Pancreatic cells	3	0.06099320845396597
Liver cells	5	0.056618343850805664
Pancreatic cells	1	0.042117258464082825
Pancreatic cells	7	0.05545800077564283
Liver cells	0	0.058378703651908045
Fibroblasts	3	0.06430338644856222
Pancreatic cells	3	0.04474467785733767
Liver cells	3	0.06581203094456321
Pancreatic cells	1	0.06545037260722267
Pancreatic cells	3	0.05001932163305169
Pancreatic cells	4	0.06762328143962987
Pancreatic cells	3	0.048786795316654336
Pancreatic cells	0	0.05273276346592466
Pancreatic cells	2	0.04009260160893065
Pancreatic cells	1	0.07332199070404018
Fibroblasts	2	0.053594167066209404
Liver cells	0	0.053543416734815476
Pancreatic cells	1	0.04279740444089883
Pancreatic cells	1	0.05652172018940307
Liver cells	0	0.06814494065043757
Pancreatic cells	1	0.05783572269963543
Pancreatic cells	1	0.06001279690367628
Pancreatic cells	1	0.06848107057057731
Pancreatic cells	3	0.06499134866124874
Pancreatic cells	1	0.06673320346153967
Liver cells	0	0.06597577865331809
Pancreatic cells	1	0.07232141760453972
Pancreatic cells	2	0.03603642999430756
Pancreatic cells	4	0.06827311538711972
Liver cells	1	0.06483553498875125
Liver cells	0	0.06212000481392602
Pancreatic cells	1	0.06110696431162428
Pancreatic cells	0	0.04017793322041082
Pancreatic cells	0	0.04917557110675255
Pancreatic cells	0	0.06438932876516308
Pancreatic cells	1	0.06498030619664102
Pancreatic cells	2	0.06192363307579755
Pancreatic cells	1	0.05788317070756923
Liver cells	4	0.06395230100052401
Neutrophils	0	0.06508241421465251
Pancreatic cells	0	0.05428798774579672
Pancreatic cells	2	0.06026423058162353
Pancreatic cells	4	0.06343960555324724
Pancreatic cells	2	0.05311765607060636
Pancreatic cells	0	0.049915508212938435
Fibroblasts	4	0.059901400227344234
Liver cells	1	0.06990704929704959
Liver cells	1	0.04736070885636831
Pancreatic cells	2	0.05526112113521892
Pancreatic cells	1	0.05350778404699763
Pancreatic cells	5	0.07358077588021258
Pancreatic cells	1	0.07309382266602707
Liver cells	1	0.04828588129774076
Pancreatic cells	1	0.03998184505069689
Pancreatic cells	0	0.06354385420430818
Neutrophils	0	0.0526390691081071
Liver cells	0	0.055765423255788184
Pancreatic cells	2	0.049596535912520105
Pancreatic cells	1	0.056505060096031234
Neutrophils	0	0.05916951095602435
Pancreatic cells	3	0.0545102938198377
Pancreatic cells	2	0.06405565771447726
Pancreatic cells	2	0.05230836763153535
Pancreatic cells	1	0.043681900931900164
Pancreatic cells	4	0.06137983043783382
Pancreatic cells	0	0.0485335977929022
Pancreatic cells	0	0.050506323816841364
Neutrophils	0	0.0444920889878317
Pancreatic cells	1	0.06574039331926776
Neutrophils	0	0.061618941070146656
Pancreatic cells	0	0.05727776604514773
Pancreatic cells	2	0.07985326515801625
Pancreatic cells	0	0.062337818271830665
Liver cells	0	0.04739413183305084
Pancreatic cells	4	0.060230482116821374
Pancreatic cells	0	0.06981997899684536
Pancreatic cells	2	0.06186126246460145
Neutrophils	1	0.04508085673180686
Pancreatic cells	0	0.07707663500094497
Liver cells	0	0.05396294344061435
Neutrophils	0	0.0609541079787771
Fibroblasts	1	0.05838639044999896
Liver cells	2	0.05232192736499052
Liver cells	1	0.05831636691761184
Pancreatic cells	3	0.060799458396197166
Pancreatic cells	1	0.057566320098137454
Pancreatic cells	0	0.046813519056413753
Neutrophils	0	0.05965077794135707
Liver cells	1	0.047486045780548033
Liver cells	2	0.08083404206167705
Pancreatic cells	1	0.05587575681592958
Pancreatic cells	2	0.05696036075326733
Pancreatic cells	0	0.055988818670214074
Pancreatic cells	1	0.05935558406905582
Liver cells	0	0.05239390903579505
Neutrophils	0	0.050054353787232726
Pancreatic cells	3	0.06531372358911294
Neutrophils	1	0.054323641909175505
Liver cells	1	0.06294540232996021
Pancreatic cells	2	0.07114437120668231
Liver cells	0	0.0685505017456266
Pancreatic cells	0	0.0552829746843537
Pancreatic cells	4	0.039947109932374374
Pancreatic cells	1	0.04628549887686979
Pancreatic cells	0	0.061532911316706525
