SRR7666943	PT081_P3_B02_S206
SRR7666944	PT081_P3_B03_S207
SRR7666945	PT081_P3_B04_S208
SRR7666946	PT081_P3_B05_S209
SRR7666947	PT081_P3_B07_S211
SRR7666950	PT081_P3_B12_S216
SRR7666952	PT081_P3_C02_S218
SRR7666953	PT081_P3_C03_S219
SRR7666954	PT081_P3_C04_S220
SRR7666955	PT081_P3_C05_S221
SRR7666956	PT081_P3_C06_S222
SRR7666958	PT081_P3_C10_S226
SRR7666962	PT081_P3_D02_S230
SRR7666963	PT081_P3_D03_S231
SRR7666964	PT081_P3_D04_S232
SRR7666965	PT081_P3_D05_S233
SRR7666967	PT081_P3_D10_S238
SRR7666968	PT081_P3_D11_S239
SRR7666969	PT081_P3_E01_S241
SRR7666970	PT081_P3_E02_S242
SRR7666971	PT081_P3_E03_S243
SRR7666972	PT081_P3_E04_S244
SRR7666975	PT081_P3_E08_S248
SRR7666976	PT081_P3_E11_S251
SRR7666978	PT081_P3_F01_S253
SRR7666979	PT081_P3_F03_S255
SRR7666981	PT081_P3_F06_S258
SRR7666986	PT081_P3_G01_S265
SRR7666988	PT081_P3_G04_S268
SRR7666990	PT081_P3_H03_S279
SRR7666999	PT081_P5_A05_S101
SRR7667000	PT081_P5_A06_S102
SRR7667001	PT081_P5_A07_S103
SRR7667003	PT081_P5_A09_S105
SRR7667004	PT081_P5_A10_S106
SRR7667006	PT081_P5_A12_S108
SRR7667009	PT081_P5_B03_S111
SRR7667010	PT081_P5_B04_S112
SRR7667011	PT081_P5_B05_S113
SRR7667012	PT081_P5_B06_S114
SRR7667013	PT081_P5_B08_S116
SRR7667014	PT081_P5_B09_S117
SRR7667015	PT081_P5_B10_S118
SRR7667016	PT081_P5_B11_S119
SRR7667017	PT081_P5_B12_S120
SRR7667018	PT081_P5_C01_S121
SRR7667020	PT081_P5_C03_S123
SRR7667021	PT081_P5_C04_S124
SRR7667022	PT081_P5_C05_S125
SRR7667023	PT081_P5_C06_S126
SRR7667024	PT081_P5_C07_S127
SRR7667025	PT081_P5_C08_S128
SRR7667026	PT081_P5_C09_S129
SRR7667027	PT081_P5_C10_S130
SRR7667028	PT081_P5_C11_S131
SRR7667029	PT081_P5_D01_S133
SRR7667030	PT081_P5_D02_S134
SRR7667031	PT081_P5_D03_S135
SRR7667033	PT081_P5_D07_S139
SRR7667034	PT081_P5_D09_S141
SRR7667035	PT081_P5_D10_S142
SRR7667036	PT081_P5_D11_S143
SRR7667038	PT081_P5_E01_S145
SRR7667039	PT081_P5_E02_S146
SRR7667040	PT081_P5_E03_S147
SRR7667041	PT081_P5_E04_S148
SRR7667042	PT081_P5_E05_S149
SRR7667043	PT081_P5_E06_S150
SRR7667044	PT081_P5_E08_S152
SRR7667045	PT081_P5_E09_S153
SRR7667047	PT081_P5_F01_S157
SRR7667049	PT081_P5_F03_S159
SRR7667052	PT081_P5_F06_S162
SRR7667053	PT081_P5_F08_S164
SRR7667054	PT081_P5_F09_S165
SRR7667056	PT081_P5_F11_S167
SRR7667057	PT081_P5_F12_S168
SRR7667067	PT081_P5_H01_S181
SRR7667068	PT081_P5_H02_S182
