SRR5867769	col48l6_19
SRR5867770	col48l6_20
SRR5867771	col48l6_21
SRR5867772	col44l7_71
SRR5867773	col44l7_72
SRR5867774	col44l7_67
SRR5867775	col44l7_68
SRR5867776	col44l7_69
SRR5867777	col44l7_70
SRR5867778	col44l2_37
SRR5867779	col44l2_38
SRR5867780	col44l2_39
SRR5867781	col44l2_40
SRR5867782	col48l7_3
SRR5867783	col48l7_2
SRR5867784	col48l7_1
SRR5867785	col48l6_96
SRR5867786	col48l6_95
SRR5867787	col48l6_94
SRR5867788	col48l6_93
SRR5867789	col48l6_92
SRR5867790	col48l7_5
SRR5867791	col48l7_4
SRR5867792	col48l6_14
SRR5867793	col48l6_15
SRR5867794	col48l6_12
SRR5867795	col48l6_13
SRR5867796	col45l7_25
SRR5867797	col45l7_24
SRR5867798	col48l6_16
SRR5867799	col48l6_17
SRR5867800	col45l2_94
SRR5867801	col45l2_93
SRR5867802	col45l2_96
SRR5867803	col45l2_95
SRR5867804	col45l2_90
SRR5867805	col45l2_89
SRR5867806	col45l2_92
SRR5867807	col45l2_91
SRR5867808	col44l7_91
SRR5867809	col44l7_92
SRR5867810	col44l7_85
SRR5867811	col44l7_86
SRR5867812	col44l7_83
SRR5867813	col44l7_84
SRR5867814	col44l7_89
SRR5867815	col44l7_90
SRR5867816	col44l7_87
SRR5867817	col44l7_88
SRR5867818	col44l1_91
SRR5867819	col44l1_92
SRR5867820	col44l1_93
SRR5867821	col44l1_94
SRR5867822	col44l2_1
SRR5867823	col44l2_2
SRR5867824	col44l2_3
SRR5867825	col44l2_4
SRR5867826	col44l2_5
SRR5867827	col44l2_6
SRR5867828	col47l7_32
SRR5867829	col47l7_33
SRR5867830	col47l7_34
SRR5867831	col47l7_35
SRR5867832	col47l7_28
SRR5867833	col47l7_29
SRR5867834	col47l7_30
SRR5867835	col47l7_31
SRR5867836	col47l7_36
SRR5867837	col47l7_37
SRR5867838	col45l2_50
SRR5867839	col45l2_49
SRR5867840	col45l2_52
SRR5867841	col45l2_51
SRR5867842	col45l2_54
SRR5867843	col45l2_53
SRR5867844	col45l2_56
SRR5867845	col45l2_55
SRR5867846	col45l2_58
SRR5867847	col45l2_57
SRR5867848	col48l7_19
SRR5867849	col48l7_17
SRR5867850	col48l7_16
SRR5867851	col48l6_72
SRR5867852	col48l6_73
SRR5867853	col48l6_74
SRR5867854	col48l6_75
SRR5867855	col48l6_76
SRR5867856	col48l6_77
SRR5867857	col48l6_78
SRR5867858	col48l6_79
SRR5867859	col48l6_80
SRR5867860	col48l6_81
SRR5867861	col48l7_21
SRR5867862	col48l7_18
SRR5867863	col48l7_20
SRR5867864	col48l7_23
SRR5867865	col48l7_22
SRR5867866	col48l6_71
SRR5867867	col48l6_70
SRR5867868	col48l6_67
SRR5867869	col48l6_66
SRR5867870	col48l6_69
SRR5867871	col48l6_68
SRR5867872	col48l6_63
SRR5867873	col48l6_62
SRR5867874	col48l6_65
SRR5867875	col48l6_64
SRR5867876	col47l7_48
SRR5867877	col47l7_49
SRR5867878	col44l8_60
SRR5867879	col44l8_59
SRR5867880	col44l8_62
SRR5867881	col44l8_61
SRR5867882	col44l8_56
SRR5867883	col44l8_55
SRR5867884	col44l8_58
SRR5867885	col44l8_57
SRR5867886	col44l8_64
SRR5867887	col44l8_63
SRR5867888	col48l6_3
SRR5867889	col45l8_10
SRR5867890	col44l1_55
